"username","article_id","payload_json","updated_at"
"kaindl_daniel","9b638ac3-0f89-42b2-aad4-dd94eb2623ee","{""id"":""9b638ac3-0f89-42b2-aad4-dd94eb2623ee"",""group"":"""",""number"":""10019"",""name"":""Bagger 2.5 Tonnen"",""description"":"""",""unit"":""Stunden"",""unitPrice"":4700,""taxRate"":20}","2026-03-17T16:27:48.7349050+01:00"
"kaindl_daniel","a2699f4b-b9b6-4eca-a1f0-a58a077857c6","{""id"":""a2699f4b-b9b6-4eca-a1f0-a58a077857c6"",""group"":"""",""number"":""10020"",""name"":""Traktor mit Güllefass"",""description"":"""",""unit"":""Std."",""unitPrice"":70,""taxRate"":20}","2026-03-17T16:27:48.7349050+01:00"
"kaindl_daniel","afd5cbbf-8ee3-4f3e-ae4b-aa8533574424","{""id"":""afd5cbbf-8ee3-4f3e-ae4b-aa8533574424"",""group"":"""",""number"":""10021"",""name"":""Maschinist/Handarbeit"",""description"":"""",""unit"":""Std."",""unitPrice"":42,""taxRate"":20}","2026-03-17T16:27:48.7349050+01:00"
"kaindl_daniel","fe412661-f8fb-4503-875b-d2820ac29967","{""id"":""fe412661-f8fb-4503-875b-d2820ac29967"",""group"":"""",""number"":""10022"",""name"":""Baumschere/Universalgreifer"",""description"":"""",""unit"":""Pau."",""unitPrice"":150,""taxRate"":20}","2026-03-17T16:27:48.7349050+01:00"
"kaindl_daniel","f5ace90d-41c8-45e7-80b6-4e7dcaa14a6b","{""id"":""f5ace90d-41c8-45e7-80b6-4e7dcaa14a6b"",""group"":"""",""number"":""10023"",""name"":""Baumschere/Universalgreifer"",""description"":"""",""unit"":""Pau."",""unitPrice"":150,""taxRate"":20}","2026-03-17T16:27:48.7349050+01:00"
"kaindl_daniel","5bfd8295-18d8-4092-b229-8f628f3cd3ba","{""id"":""5bfd8295-18d8-4092-b229-8f628f3cd3ba"",""group"":"""",""number"":""10024"",""name"":""Energiekostenzuschuss"",""description"":"""",""unit"":""%"",""unitPrice"":8,""taxRate"":20}","2026-03-17T16:27:48.7349050+01:00"
"kaindl_daniel","79bed932-b5f4-49fb-b84d-e4bb2aa5fd98","{""id"":""79bed932-b5f4-49fb-b84d-e4bb2aa5fd98"",""group"":"""",""number"":""10025"",""name"":""Rüttelplatte leihweise"",""description"":"""",""unit"":""Tag"",""unitPrice"":70,""taxRate"":20}","2026-03-17T16:27:48.7349050+01:00"
"kaindl_daniel","15f796ba-f6cd-419e-8155-ce74765ede71","{""id"":""15f796ba-f6cd-419e-8155-ce74765ede71"",""group"":"""",""number"":""10026"",""name"":""Bagger 15 to. (Fröschl)"",""description"":"""",""unit"":""Std."",""unitPrice"":74,""taxRate"":20}","2026-03-17T16:27:48.7349050+01:00"
"kaindl_daniel","c7b87240-6960-4ba5-a095-98484a24fa88","{""id"":""c7b87240-6960-4ba5-a095-98484a24fa88"",""group"":"""",""number"":""10027"",""name"":""Bagger 2 to."",""description"":"""",""unit"":""Std."",""unitPrice"":56,""taxRate"":20}","2026-03-17T16:27:48.7349050+01:00"
"kaindl_daniel","867dc04a-6648-48bf-b9d8-3e1536fdb071","{""id"":""867dc04a-6648-48bf-b9d8-3e1536fdb071"",""group"":"""",""number"":""10028"",""name"":""Bagger 9to"",""description"":"""",""unit"":""Std."",""unitPrice"":67,""taxRate"":20}","2026-03-17T16:27:48.7349050+01:00"
"kaindl_daniel","6e4e2eb8-6d17-474f-a1a5-e51b74e84540","{""id"":""6e4e2eb8-6d17-474f-a1a5-e51b74e84540"",""group"":"""",""number"":""10029"",""name"":""Steinschlichtung in Beton"",""description"":"""",""unit"":""Pro m³"",""unitPrice"":142,""taxRate"":20}","2026-03-17T16:27:48.7349050+01:00"
"kaindl_daniel","b573f55a-930b-42e6-8ee4-80452fb598cd","{""id"":""b573f55a-930b-42e6-8ee4-80452fb598cd"",""group"":"""",""number"":""10030"",""name"":""Traktor mit Kipper ohne Fahrer leihweise"",""description"":"""",""unit"":""Std."",""unitPrice"":40,""taxRate"":20}","2026-03-17T16:27:48.7349050+01:00"
"kaindl_daniel","8551b865-bbbf-427d-adf6-0eda9236b896","{""id"":""8551b865-bbbf-427d-adf6-0eda9236b896"",""group"":"""",""number"":""10031"",""name"":""Teleskopradlader mit Fahrer"",""description"":"""",""unit"":""Std."",""unitPrice"":80,""taxRate"":20}","2026-03-17T16:27:48.7349050+01:00"
"kaindl_daniel","08affb90-2568-4739-8178-35d4be16039d","{""id"":""08affb90-2568-4739-8178-35d4be16039d"",""group"":"""",""number"":""10032"",""name"":""Teleskopradlader ohne Fahrer leihweise"",""description"":"""",""unit"":""Std."",""unitPrice"":30,""taxRate"":20}","2026-03-17T16:27:48.7349050+01:00"
"kaindl_daniel","19cb7e05-ea25-4597-aad1-2e947719bc30","{""id"":""19cb7e05-ea25-4597-aad1-2e947719bc30"",""group"":"""",""number"":""10033"",""name"":""Teleskopradlader mit Zubehör leihweise"",""description"":"""",""unit"":""Tag"",""unitPrice"":270,""taxRate"":20}","2026-03-17T16:27:48.7349050+01:00"
"kaindl_daniel","5a008e4b-e127-4b03-ae8e-e9b92d879731","{""id"":""5a008e4b-e127-4b03-ae8e-e9b92d879731"",""group"":"""",""number"":""10034"",""name"":""Bagger 2 to leihweise incl.Zubehör"",""description"":"""",""unit"":""Tag"",""unitPrice"":100,""taxRate"":20}","2026-03-17T16:27:48.7349050+01:00"
